,Collector system input temperature / degC,Collector system output temperature / degC,PV-T collector output temperature / degC,Solar-thermal collector output temperature / degC,Tank temperature / degC,PV electric efficiencies,PV electric output power / W,PV-T electric efficiencies,PV-T electric output power / W,PV-T reduced temperature / degC/W/m^2,PV-T thermal efficiency,Solar-thermal reduced temperature / degC/W/m^2,Solar-thermal thermal efficiency
0,28.062804134618546,25.32138481852661,26.164661275821118,25.32138481852661,28.062804134618546,,,,0.0,,,,
1,26.272284553206305,23.936634136232215,24.654611642891552,23.936634136232215,26.272284553206305,,,,0.0,,,,
2,24.72504118229972,22.706901966135717,23.32695035789459,22.706901966135717,24.72504118229972,,,,0.0,,,,
3,23.36821914995471,21.59857085393071,22.14204927801262,21.59857085393071,23.36821914995471,,,,0.0,,,,
4,22.195184016652206,20.66533824336915,21.13498347844353,20.66533824336915,22.195184016652206,,,,0.0,,,,
5,21.168196894285302,19.828890914723047,20.23991228456015,19.828890914723047,21.168196894285302,,,,0.0,,,,
6,20.253382457971952,19.060408257096697,19.42643247469033,19.060408257096697,20.253382457971952,,,,0.0,,,,
7,19.472864864230644,18.438712784961695,18.73488124588215,18.438712784961695,19.472864864230644,,,,0.0,,,,
8,20.399408564475436,23.16906500106603,21.673639347092546,23.16906500106603,20.399408564475436,,,0.18054718755998522,0.027729715096116048,0.05780294715491253,0.354338376013623,0.07567983835717959,0.4247475307672246
9,27.146571918985444,43.548231862326475,35.412657242600744,43.548231862326475,27.146571918985444,,,0.17399628368765527,0.1306003397765788,0.039210952092083515,0.4655185064893405,0.06077710568324113,0.4728295543469815
10,38.84184652097474,66.53962719219226,52.758435258518205,66.53962719219226,38.84184652097474,,,0.16468884528401634,0.2157460881949891,0.04224110433482594,0.44739819607774084,0.06306891094103508,0.45891130004869785
11,48.90046120545048,85.8830724189126,67.49720709120515,85.8830724189126,48.90046120545048,,,0.15675055559506004,0.27860077611109973,0.043356977879849094,0.44072527227850233,0.06385606947047702,0.45126490287520604
12,57.06203509918316,100.336147322952,78.82336505680684,100.336147322952,57.06203509918316,,,0.15051185056146896,0.317403702882216,0.04436089169296686,0.43472186767605814,0.06457846337949948,0.4450163877150952
13,62.87677749565324,108.69182880301975,85.85480643958937,108.69182880301975,62.87677749565324,,,0.14637118749354733,0.333693826238625,0.04630578960289381,0.42309137817469494,0.06606980811373221,0.43698609482678535
14,66.12988096118698,110.72961932897624,88.32915859705241,110.72961932897624,66.12988096118698,,,0.14453642548527074,0.32885163007102,0.04856198479960863,0.40959933089834033,0.06784090446285516,0.4294919003750691
15,66.71492434146086,106.43584956491691,86.22026562366392,106.43584956491691,66.71492434146086,,,0.1450247236732823,0.3038418688898408,0.05169312801330777,0.39087509448041946,0.07034007901783221,0.42092181528799977
16,64.5539073566656,95.82916190409634,79.49284219330747,95.82916190409634,64.5539073566656,,,0.1478724349932608,0.2590442608116212,0.05717185705161458,0.35811229483134477,0.07473286271348933,0.4068067868598513
17,59.89977810333215,80.04037137182434,68.92190503073311,80.04037137182434,59.89977810333215,,,0.15275013807072324,0.1946787637508721,0.06731822623096531,0.29743700713882737,0.08286581946291674,0.38056481513362966
18,53.322761430563844,60.73677550395087,55.720366723183474,60.73677550395087,53.322761430563844,,,0.15910889199704775,0.11088191418852687,0.09209555223346501,0.14926859764387912,0.10267076099985101,0.31401281491726835
19,45.42150600547831,39.92733808400885,41.19643813899182,39.92733808400885,45.42150600547831,,,0.16628790757247144,0.019049307434327332,0.37190693092634064,-1.5240034469395172,0.3252984571146645,-0.48327914743654554
20,40.21896715192548,33.44590356824148,35.571334369397846,33.44590356824148,40.21896715192548,,,,0.0,,,,
21,36.07741834953771,30.670615652181084,32.3410704882113,30.670615652181084,36.07741834953771,,,,0.0,,,,
22,32.78883859717996,28.49683733977639,29.820455382989394,28.49683733977639,32.78883859717996,,,,0.0,,,,
23,30.165074400575975,26.741517270879115,27.795808912640723,26.741517270879115,30.165074400575975,,,,0.0,,,,
